name,city,street_address,logo_url,latitude,longitude
Al Noor Medical Store and Center,Khairpur,"Chandia Mor, Mill Colony, Civil Hospital Rd Sindh Khairpur",https://static.marham.pk/assets/images/default-hospital-image.jpg,27.517361,68.747374
Mehran Medical Center,Khairpur,"Civil Hospital Rd , Civil Lines Khairpur",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Neuro Endocrine Clinic,Khairpur,beside Bank Islami station road Khairpur,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Dr Assad Clinic and Diagnostics,Kashmor,Wapda Colony Guddu Kashmor,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Shan Homeopathic Clinic,Kashmor,Wapda Colony Guddu Sindh Kashmor,https://static.marham.pk/assets/images/default-hospital-image.jpg,28.436266,69.678944
Skin Care Hospital,Kashmor,Near to Agha Khan Laboratary kashmoor Kashmor,https://static.marham.pk/assets/images/default-hospital-image.jpg,28.43386,69.57821
Mehran Medical Centr,Kandiaro,"Near Baloch Bakery, Railway Line Road. Kandiaro. Dist. Noasharo Feroze Dist. Noasharo Feroze Kandiaro",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Sukkur Blood Bank Hospital,Kandiaro,Opposite Eid gah Sukkur sukkur Kandiaro,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Sukkur CT and Infertility Hospital,Kandiaro,Opposite Foramin Hotel workshop road sukkur sukkur Kandiaro,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Huma Hospital,Kayseri,"Seyyid Burhanettin Blv. No:58, 38050, 38030 Tacettin Veli Kayseri",https://static.marham.pk/assets/hospitals/4113/4113-16c63fb970bf0f826a0f57b1fc9ce2a075898e78_450X450.png,38.713399,35.49482
Wali Hospital,Kasur,"Kasur-Raiwind Road, Mandi Morr near Sharif Medical Complex Kasur City Kasur",https://static.marham.pk/assets/hospitals/723/random-75_450X450.jpg,31.136216,74.456593
Bhatti International Hospital,Kasur,Cinema Chowk Raiwand Road Kasur,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.129734,74.442885
Dental Clinic Sakina Medical Complex Kasur,Kasur,Opposite to Educators School Baldia Chowk Kasur,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Mohsin Dental Clinic Kasur,Kasur,Near PTCL Exchange Baldia Chowk Kasur,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Allama Iqbal Hospital,Kasur,"Steel Bagh Chowk, opposite DHQ Hospital DHQ hospital Kasur",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.136757,74.459469
Ashraf Medical Surgical Complex & Delivery Home,Kasur,Milad Gate Shehbaz Khan kasur Kasur,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.121831,74.45356
Sarmad Hospital,Jhelum,"Major Akram Shaheed Rd, near Muhammadi Furniture Chishtiyan Mohallah Mohalla Islampura Jhelum",https://static.marham.pk/assets/hospitals/5124/2021-01-07-35_450X450.jpg,,
Afzal Hospital,Jhelum,"Machine Mohala Machine Mohalla No.3 Jhelum, OLD GT road Jhelum",https://static.marham.pk/assets/images/default-hospital-image.jpg,32.941417,73.720052
Captain Muazzam Ali Shaheed Hospital,Jhelum,Azeem Road Kala Gujran Jhelum,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Khadim Ali Memorial Hospital,Jhelum,Mian Muhammad Baksh Road Machine Mohalla Jhelum,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Imtiaz medical center,Jhelum,opposite main gate Dhq hospital DHQ hospital Jhelum,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Shifa Eye Hospital Kamoke,Kamoke,Opposite to Shell Petrol Pump GT Road Kamoke,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Al Shifa Surgical Hospital,Kamoke,"Flour Mill St, Mohalla Muslim Ganj Kamoke Kamoke",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.982368,74.219857
